Company Name,Sector,Number of Funds,Funds Holding This Stock
Max Healthcare Institute Ltd.,Healthcare,16,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, Quant Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Groww Largecap Fund-Reg"
TVS Motor Company Ltd.,Automobile and Ancillaries,16,"ICICI Pru Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Taurus Large Cap Fund-Reg"
Cummins India Ltd.,Automobile and Ancillaries,15,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg"
Avenue Supermarts Ltd.,Retail and Other Services,15,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, JM Large Cap Fund-Reg, Groww Largecap Fund-Reg"
HDFC Life Insurance Company Ltd.,Financials,15,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, JM Large Cap Fund-Reg"
Hindalco Industries Ltd.,Metals,15,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Franklin India Large Cap Fund, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg"
Eicher Motors Ltd.,Automobile and Ancillaries,14,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Samco Large Cap Fund-Reg"
Britannia Industries Ltd.,FMCG,14,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Tata Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re"
United Spirits Ltd.,FMCG,14,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, HSBC Large Cap Fund, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, JM Large Cap Fund-Reg"
Adani Ports and Special Economic Zone Ltd.,Infrastructure,14,"SBI Large Cap Fund-Reg, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg"
Asian Paints Ltd.,Chemicals,14,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund"
The Indian Hotels Company Ltd.,Travel,14,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Taurus Large Cap Fund-Reg"
DLF Ltd.,Construction,14,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg"
ICICI Prudential Asset Management Company Ltd.,Financials,13,"SBI Large Cap Fund-Reg, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re"
CG Power and Industrial Solutions Ltd.,Capital Goods,13,"HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, Samco Large Cap Fund-Reg"
Vedanta Aluminium Metal Ltd.,Metals,13,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re"
Tata Motors Ltd.,Automobile and Ancillaries,12,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, HDFC Large Cap Fund, Canara Rob Large Cap Fund-Reg, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, HSBC Large Cap Fund, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re"
Bajaj Auto Ltd.,Automobile and Ancillaries,12,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg, JM Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg"
ABB India Ltd.,Capital Goods,12,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Franklin India Large Cap Fund, Tata Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Samco Large Cap Fund-Reg, Taurus Large Cap Fund-Reg"
Hindustan Aeronautics Ltd.,Capital Goods,11,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re"
Solar Industries India Ltd.,Chemicals,11,"Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Kotak Large Cap Fund, Tata Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg"
Tata Consumer Products Ltd.,FMCG,11,"Nippon India Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, JM Large Cap Fund-Reg"
LG Electronics India Ltd.,Consumer Durables,11,"Axis Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Quant Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, PGIM India Large Cap Fund, Union Largecap Fund-Reg"
Tata Power Company Ltd.,Energy,11,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Canara Rob Large Cap Fund-Reg, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, ITI Large Cap Fund-Reg, Taurus Large Cap Fund-Reg"
Mankind Pharma Ltd.,Healthcare,10,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Tata Large Cap Fund-Reg, HSBC Large Cap Fund, PGIM India Large Cap Fund, Bank of India Large Cap Fund-Re"
Grasim Industries Ltd.,Diversified,10,"ICICI Pru Large Cap Fund, Axis Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, Taurus Large Cap Fund-Reg"
Bharat Petroleum Corporation Ltd.,Energy,10,"ICICI Pru Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, DSP Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg"
JSW Steel Ltd.,Metals,10,"SBI Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg"
Power Grid Corporation Of India Ltd.,Energy,10,"ICICI Pru Large Cap Fund, UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg"
Persistent Systems Ltd.,Technology,9,"Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Taurus Large Cap Fund-Reg"
TVS Motors Ltd. - (Prefernece Shares),Unknown Sector,9,"ICICI Pru Large Cap Fund, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, ITI Large Cap Fund-Reg, Samco Large Cap Fund-Reg"
Bajaj Finserv Ltd.,Financials,9,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Aditya Birla SL Large Cap Fund-, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun"
Cipla Ltd.,Healthcare,9,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Tata Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg"
Dr. Reddy's Laboratories Ltd.,Healthcare,9,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, JM Large Cap Fund-Reg, Bank of India Large Cap Fund-Re"
HCL Technologies Ltd.,Technology,9,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, HSBC Large Cap Fund, Parag Parikh Large Cap Fund-Reg, Taurus Large Cap Fund-Reg"
Hyundai Motor India Ltd.,Automobile and Ancillaries,9,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, UTI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg"
Oil & Natural Gas Corporation Ltd.,Energy,9,"ICICI Pru Large Cap Fund, Mirae Asset Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg"
Power Finance Corporation Ltd.,Financials,9,"Mirae Asset Large Cap Fund-Reg, Kotak Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg"
Swiggy Ltd.,Retail and Other Services,9,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, HSBC Large Cap Fund, ITI Large Cap Fund-Reg"
Nestle India Ltd.,FMCG,8,"Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund"
Coforge Ltd.,Technology,8,"Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, JM Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg"
Tata Motors Passenger Vehicles Ltd.,Automobile and Ancillaries,8,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, Groww Largecap Fund-Reg"
Vishal Mega Mart Ltd.,Retail and Other Services,8,"Nippon India Large Cap Fund, HDFC Large Cap Fund, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, PGIM India Large Cap Fund"
Ambuja Cements Ltd.,Construction,8,"HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Tata Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg"
Pidilite Industries Ltd.,Chemicals,8,"Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, Bank of India Large Cap Fund-Re"
HDFC Asset Management Company Ltd.,Financials,8,"ICICI Pru Large Cap Fund, Canara Rob Large Cap Fund-Reg, Tata Large Cap Fund-Reg, HSBC Large Cap Fund, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg"
ICICI Lombard General Insurance Company Ltd.,Financials,7,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, DSP Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, PGIM India Large Cap Fund"
Adani Energy Solutions Ltd.,Energy,7,"SBI Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Quant Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, Samco Large Cap Fund-Reg"
Godrej Consumer Products Ltd.,FMCG,7,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg"
Info Edge (India) Ltd.,Technology,7,"ICICI Pru Large Cap Fund, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg"
SRF Ltd.,Chemicals,7,"HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Mahindra Manulife Large Cap Fun, JM Large Cap Fund-Reg"
Tata Capital Ltd.,Financials,7,"HDFC Large Cap Fund, Baroda BNP Paribas Large Cap Fu, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Taurus Large Cap Fund-Reg"
PB Fintech Ltd.,Financials,7,"Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Invesco India Largecap Fund-Reg"
Coal India Ltd.,Energy,7,"UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg, Taurus Large Cap Fund-Reg"
Vedanta Ltd.,Metals,7,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Bandhan Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg"
Vedanta Power Ltd.,Energy,7,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Bank of India Large Cap Fund-Re"
IndusInd Bank Ltd.,Financials,6,"HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bajaj Finserv Large Cap Fund-Re, Mahindra Manulife Large Cap Fun"
Muthoot Finance Ltd.,Financials,6,"Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, JM Large Cap Fund-Reg"
Polycab India Ltd.,Capital Goods,6,"UTI Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Edelweiss Large Cap Fund-Reg, Union Largecap Fund-Reg, JM Large Cap Fund-Reg"
Siemens Ltd.,Capital Goods,6,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg"
Cash & Cash Equivalent,Unknown Sector,6,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, DSP Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg"
GE Vernova T&D India Ltd.,Capital Goods,5,"Nippon India Large Cap Fund, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg"
Indus Towers Ltd.,Media and Communications,5,"SBI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun"
Sona BLW Precision Forgings Ltd.,Automobile and Ancillaries,5,"SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg"
Lupin Ltd.,Healthcare,5,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, UTI Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg"
Dixon Technologies (India) Ltd.,Consumer Durables,5,"Nippon India Large Cap Fund, UTI Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, PGIM India Large Cap Fund, Taurus Large Cap Fund-Reg"
Bank Of Baroda,Financials,5,"ICICI Pru Large Cap Fund, Sundaram Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re"
Vedanta Iron And Steel Ltd.,Metals,5,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Bank of India Large Cap Fund-Re"
Lenskart Solutions Ltd.,Healthcare,5,"Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, WOC Large Cap Fund-Reg"
Billionbrains Garage Ventures Ltd.,Financials,5,"HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, WOC Large Cap Fund-Reg"
Vedanta Oil and Gas Ltd.,Metals,5,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg"
LTM Ltd.,Technology,5,"UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, JM Large Cap Fund-Reg"
Adani Power Ltd.,Energy,4,"Aditya Birla SL Large Cap Fund-, Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg"
Jindal Steel Ltd.,Metals,4,"Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Parag Parikh Large Cap Fund-Reg, Samco Large Cap Fund-Reg"
Multi Commodity Exchange Of India Ltd.,Financials,4,"Canara Rob Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Invesco India Largecap Fund-Reg, Union Largecap Fund-Reg"
Oberoi Realty Ltd.,Construction,4,"ICICI Pru Large Cap Fund, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund"
Hitachi Energy India Ltd.,Capital Goods,4,"Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Union Largecap Fund-Reg"
Hindustan Zinc Ltd.,Metals,4,"Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Parag Parikh Large Cap Fund-Reg, JM Large Cap Fund-Reg"
Siemens Energy India Ltd.,Capital Goods,4,"Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, ITI Large Cap Fund-Reg"
Lodha Developers Ltd.,Construction,4,"Mirae Asset Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Parag Parikh Large Cap Fund-Reg"
GAIL (India) Ltd.,Energy,4,"SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg"
