Company Name,Sector,Number of Funds,Funds Holding This Stock,Yahoo_Ticker,Current Price (INR),90-Day ADV (Shares),Amihud Measure
Eternal Ltd.,Retail and Other Services,28,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg",ETERNAL.NS,280.0,33692769.0,1.9612997021732773e-12
Titan Company Ltd.,Retail and Other Services,27,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Motilal Oswal Large Cap Fund-Re, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",TITAN.NS,4677.0,1029823.0,2.701611570672034e-12
NTPC Ltd.,Energy,27,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg",NTPC.NS,347.2,10849495.0,2.2516457533455885e-12
Sun Pharmaceutical Industries Ltd.,Healthcare,26,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",SUNPHARMA.NS,1941.1,3154042.0,1.652652797027838e-12
Ultratech Cement Ltd.,Construction,24,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg",ULTRACEMCO.NS,11846.0,323394.0,3.4680560363708284e-12
Tech Mahindra Ltd.,Technology,23,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Quant Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, JM Large Cap Fund-Reg, Bank of India Large Cap Fund-Re",TECHM.NS,1559.5,2452336.0,4.954376343277463e-12
Bajaj Finance Ltd.,Financials,22,"Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg",BAJFINANCE.NS,1012.8,8944174.0,1.6243798661541723e-12
Interglobe Aviation Ltd.,Travel,22,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg",INDIGO.NS,4985.0,1192944.0,2.846393328797059e-12
Maruti Suzuki India Ltd.,Automobile and Ancillaries,22,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",MARUTI.NS,13442.0,452995.0,1.8311661815764663e-12
Trent Ltd.,Retail and Other Services,21,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, Union Largecap Fund-Reg, JM Large Cap Fund-Reg",TRENT.NS,2890.5,1411306.0,3.375137133816141e-12
