Company Name,Sector,Number of Funds,Funds Holding This Stock,Yahoo_Ticker,Current Price (INR),90-Day ADV (Shares),Amihud Measure
Shriram Finance Ltd.,Financials,20,"Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg",SHRIRAMFIN.NS,1005.1,5778742.0,2.6229021684584854e-12
Tata Steel Ltd.,Metals,20,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg",TATASTEEL.NS,182.67,27833337.0,1.8271358476279157e-12
SBI Life Insurance Company Ltd.,Financials,19,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg",SBILIFE.NS,1858.6,1038795.0,6.074501899056283e-12
Hindustan Unilever Ltd.,FMCG,18,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",HINDUNILVR.NS,2145.0,1764982.0,2.9831520235061044e-12
Torrent Pharmaceuticals Ltd.,Healthcare,18,"HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg",TORNTPHARM.NS,4961.5,557923.0,6.564758985599613e-12
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,18,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Quant Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg",MOTHERSON.NS,145.55,21161079.0,5.402887813312798e-12
Divi's Laboratories Ltd.,Healthcare,18,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",DIVISLAB.NS,7248.5,363756.0,4.2268405721214564e-12
ITC Ltd.,FMCG,17,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg",ITC.NS,283.45,15723574.0,1.643743390717502e-12
Cholamandalam Investment and Finance Company Ltd.,Financials,17,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg",CHOLAFIN.NS,1724.4,1671082.0,6.388517775280964e-12
Bharat Electronics Ltd.,Capital Goods,17,"Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg",BEL.NS,405.0,11508330.0,2.119547230808934e-12
Tata Consultancy Services Ltd.,Technology,16,"Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Groww Largecap Fund-Reg",TCS.NS,2254.3,4795561.0,1.2922896364741683e-12
Apollo Hospitals Enterprise Ltd.,Healthcare,16,"ICICI Pru Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Franklin India Large Cap Fund, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg",APOLLO.NS,394.3,20491964.0,5.187169817507605e-12
Varun Beverages Ltd.,FMCG,16,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, ITI Large Cap Fund-Reg",VBL.NS,457.2,6149622.0,4.159459091014836e-12
Max Healthcare Institute Ltd.,Healthcare,16,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, Quant Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, HSBC Large Cap Fund, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Groww Largecap Fund-Reg",MAXHEALTH.NS,1080.4,2407095.0,5.320074819882334e-12
TVS Motor Company Ltd.,Automobile and Ancillaries,16,"ICICI Pru Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",TVSMOTOR.NS,3870.2,1106228.0,3.752382299499332e-12
Cummins India Ltd.,Automobile and Ancillaries,15,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg",CUMMINSIND.NS,5600.5,458334.0,5.088089282401417e-12
Avenue Supermarts Ltd.,Retail and Other Services,15,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, JM Large Cap Fund-Reg, Groww Largecap Fund-Reg",DMART.NS,4018.8,518141.0,5.388207695955981e-12
HDFC Life Insurance Company Ltd.,Financials,15,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, JM Large Cap Fund-Reg",HDFCLIFE.NS,555.05,4097275.0,6.4998598899962676e-12
Hindalco Industries Ltd.,Metals,15,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Franklin India Large Cap Fund, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg",HINDALCO.NS,942.8,5589623.0,2.3717223975257833e-12
Eicher Motors Ltd.,Automobile and Ancillaries,14,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Samco Large Cap Fund-Reg",EICHERMOT.NS,7628.0,547881.0,2.772880464712618e-12
Britannia Industries Ltd.,FMCG,14,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Tata Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re",BRITANNIA.NS,5379.5,363291.0,4.879418557614876e-12
United Spirits Ltd.,FMCG,14,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, HSBC Large Cap Fund, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, JM Large Cap Fund-Reg",UNITDSPR.NS,1467.2,945725.0,1.0474056494727596e-11
Adani Ports and Special Economic Zone Ltd.,Infrastructure,14,"SBI Large Cap Fund-Reg, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg",ADANIPORTS.NS,1768.3,2339387.0,2.9949269705679238e-12
Asian Paints Ltd.,Chemicals,14,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Mirae Asset Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund",ASIANPAINT.NS,2637.9,1119799.0,3.2558886498302444e-12
The Indian Hotels Company Ltd.,Travel,14,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, JM Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",INDHOTEL.NS,727.45,2456271.0,8.051005765259703e-12
DLF Ltd.,Construction,14,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Groww Largecap Fund-Reg, Taurus Large Cap Fund-Reg",DLF.NS,645.2,4086338.0,7.417712175497588e-12
ICICI Prudential Asset Management Company Ltd.,Financials,13,"SBI Large Cap Fund-Reg, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re",ICICIPRULI.NS,500.55,1763141.0,2.0347869359454043e-11
CG Power and Industrial Solutions Ltd.,Capital Goods,13,"HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Invesco India Largecap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, JM Large Cap Fund-Reg, Samco Large Cap Fund-Reg",CGPOWER.NS,867.7,4295028.0,4.537385773821254e-12
Vedanta Aluminium Metal Ltd.,Metals,13,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Bank of India Large Cap Fund-Re",VEDL.NS,264.65,28373263.0,3.181945908503695e-12
Tata Motors Ltd.,Automobile and Ancillaries,12,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, HDFC Large Cap Fund, Canara Rob Large Cap Fund-Reg, Franklin India Large Cap Fund, DSP Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, HSBC Large Cap Fund, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re",TATAMOTORS.NS,,,
Bajaj Auto Ltd.,Automobile and Ancillaries,12,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Parag Parikh Large Cap Fund-Reg, JM Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Groww Largecap Fund-Reg, Samco Large Cap Fund-Reg",BAJAJ-AUTO.NS,11130.0,422832.0,3.058766419471021e-12
ABB India Ltd.,Capital Goods,12,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Franklin India Large Cap Fund, Tata Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, ITI Large Cap Fund-Reg, Samco Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",ABB.NS,7375.5,395053.0,5.8273221100187836e-12
Hindustan Aeronautics Ltd.,Capital Goods,11,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Invesco India Largecap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re",HAL.NS,4573.4,982980.0,2.4540831590104067e-12
Solar Industries India Ltd.,Chemicals,11,"Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, Kotak Large Cap Fund, Tata Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg",SOLARINDS.NS,18494.0,158053.0,5.95092378670803e-12
Tata Consumer Products Ltd.,FMCG,11,"Nippon India Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Union Largecap Fund-Reg, JM Large Cap Fund-Reg",TATACONSUM.NS,1088.0,1977053.0,5.546823199208144e-12
LG Electronics India Ltd.,Consumer Durables,11,"Axis Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, Franklin India Large Cap Fund, Quant Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, HSBC Large Cap Fund, Bajaj Finserv Large Cap Fund-Re, PGIM India Large Cap Fund, Union Largecap Fund-Reg",,,,
Tata Power Company Ltd.,Energy,11,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Canara Rob Large Cap Fund-Reg, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, ITI Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",TATAPOWER.NS,374.4,5477357.0,4.605711924213067e-12
Mankind Pharma Ltd.,Healthcare,10,"SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, HDFC Large Cap Fund, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Tata Large Cap Fund-Reg, HSBC Large Cap Fund, PGIM India Large Cap Fund, Bank of India Large Cap Fund-Re",MANKIND.NS,2507.2,555607.0,1.1645491674591787e-11
Grasim Industries Ltd.,Diversified,10,"ICICI Pru Large Cap Fund, Axis Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Bandhan Large Cap Fund-Reg, Bajaj Finserv Large Cap Fund-Re, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, Taurus Large Cap Fund-Reg",GRASIM.NS,3089.4,769011.0,4.459424616179875e-12
Bharat Petroleum Corporation Ltd.,Energy,10,"ICICI Pru Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Kotak Large Cap Fund, DSP Large Cap Fund-Reg, Sundaram Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg",BPCL.NS,310.15,9097239.0,5.340034481247989e-12
JSW Steel Ltd.,Metals,10,"SBI Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, ITI Large Cap Fund-Reg, Bank of India Large Cap Fund-Re, Samco Large Cap Fund-Reg",JSWSTEEL.NS,1240.8,1653570.0,4.910569194203969e-12
Power Grid Corporation Of India Ltd.,Energy,10,"ICICI Pru Large Cap Fund, UTI Large Cap Fund-Reg, Motilal Oswal Large Cap Fund-Re, Tata Large Cap Fund-Reg, Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, PGIM India Large Cap Fund, Bank of India Large Cap Fund-Re, Taurus Large Cap Fund-Reg",POWERGRID.NS,288.2,10393857.0,2.9681620527673664e-12
Persistent Systems Ltd.,Technology,9,"Aditya Birla SL Large Cap Fund-, Kotak Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Edelweiss Large Cap Fund-Reg, LIC MF Large Cap Fund-Reg, WOC Large Cap Fund-Reg, PGIM India Large Cap Fund, Union Largecap Fund-Reg, Taurus Large Cap Fund-Reg",PERSISTENT.NS,5200.5,733431.0,5.462800938149249e-12
TVS Motors Ltd. - (Prefernece Shares),Unknown Sector,9,"ICICI Pru Large Cap Fund, Aditya Birla SL Large Cap Fund-, Canara Rob Large Cap Fund-Reg, Edelweiss Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, PGIM India Large Cap Fund, Union Largecap Fund-Reg, ITI Large Cap Fund-Reg, Samco Large Cap Fund-Reg",TVSMOTOR.NS,3870.2,1106228.0,3.752382299499332e-12
Bajaj Finserv Ltd.,Financials,9,"ICICI Pru Large Cap Fund, HDFC Large Cap Fund, Aditya Birla SL Large Cap Fund-, Franklin India Large Cap Fund, Baroda BNP Paribas Large Cap Fu, Bandhan Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun",BAJAJFINSV.NS,1876.7,1102205.0,6.793977951156996e-12
Cipla Ltd.,Healthcare,9,"ICICI Pru Large Cap Fund, SBI Large Cap Fund-Reg, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Axis Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Tata Large Cap Fund-Reg, WOC Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg",CIPLA.NS,1410.6,1741395.0,4.699630281195467e-12
Dr. Reddy's Laboratories Ltd.,Healthcare,9,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Mirae Asset Large Cap Fund-Reg, Canara Rob Large Cap Fund-Reg, UTI Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg, Mahindra Manulife Large Cap Fun, JM Large Cap Fund-Reg, Bank of India Large Cap Fund-Re",DRREDDY.NS,1151.7,2376228.0,4.232896370326618e-12
HCL Technologies Ltd.,Technology,9,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, Aditya Birla SL Large Cap Fund-, UTI Large Cap Fund-Reg, Franklin India Large Cap Fund, Sundaram Large Cap Fund-Reg, HSBC Large Cap Fund, Parag Parikh Large Cap Fund-Reg, Taurus Large Cap Fund-Reg",HCLTECH.NS,1271.0,4053986.0,3.0520946492829403e-12
Hyundai Motor India Ltd.,Automobile and Ancillaries,9,"ICICI Pru Large Cap Fund, Nippon India Large Cap Fund, HDFC Large Cap Fund, Axis Large Cap Fund-Reg, UTI Large Cap Fund-Reg, DSP Large Cap Fund-Reg, Quant Large Cap Fund-Reg, Tata Large Cap Fund-Reg, Parag Parikh Large Cap Fund-Reg",HYUNDAI.NS,1952.6,1205743.0,8.848174619053601e-12
