Company,Sector,,Assets&nbsp;%
Adani Power Ltd.,Energy,,5.72
Hindalco Industries Ltd.,Metals,,4.92
Adani Energy Solutions Ltd.,Energy,,4.31
Shriram Finance Ltd.,Financials,,4.17
Solar Industries India Ltd.,Chemicals,,3.98
Samvardhana Motherson International Ltd.,Automobile and Ancillaries,,3.93
Torrent Pharmaceuticals Ltd.,Healthcare,,3.91
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,3.63
Titan Company Ltd.,Retail and Other Services,,3.45
State Bank Of India,Financials,,3.38
Eicher Motors Ltd.,Automobile and Ancillaries,,3.08
Bajaj Auto Ltd.,Automobile and Ancillaries,,3.06
JSW Steel Ltd.,Metals,,2.91
Vedanta Ltd.,Metals,,2.83
Jindal Steel Ltd.,Metals,,2.71
Cummins India Ltd.,Automobile and Ancillaries,,2.51
CG Power and Industrial Solutions Ltd.,Capital Goods,,2.39
Siemens Ltd.,Capital Goods,,2.21
Apollo Hospitals Enterprise Ltd.,Healthcare,,2.12
ABB India Ltd.,Capital Goods,,2.04
NTPC Ltd.,Energy,,1.98
Union Bank Of India,Financials,,1.90
Tata Steel Ltd.,Metals,,1.77
Adani Green Energy Ltd.,Energy,,1.75
Coal India Ltd.,Energy,,1.16
Total,,,75.82
Instrument,,,Asset Type,,,Assets&nbsp;%,,
Cummins India Ltd.,,,Derivatives-Futures,,,,3.20,,
Vedanta Ltd.,,,Derivatives-Futures,,,,3.17,,
Tata Steel Ltd.,,,Derivatives-Futures,,,,1.98,,
CG Power and Industrial Solutions Ltd.,,,Derivatives-Futures,,,,1.91,,
ABB India Ltd.,,,Derivatives-Futures,,,,1.88,,
Coal India Ltd.,,,Derivatives-Futures,,,,1.86,,
Adani Green Energy Ltd.,,,Derivatives-Futures,,,,1.76,,
Apollo Hospitals Enterprise Ltd.,,,Derivatives-Futures,,,,1.39,,
Adani Energy Solutions Ltd.,,,Derivatives-Futures,,,,1.29,,
Torrent Pharmaceuticals Ltd.,,,Derivatives-Futures,,,,1.14,,
NTPC Ltd.,,,Derivatives-Futures,,,,1.00,,
JSW Steel Ltd.,,,Derivatives-Futures,,,,0.73,,
Union Bank Of India,,,Derivatives-Futures,,,,0.67,,
Adani Power Ltd.,,,Derivatives-Futures,,,,0.31,,
Bajaj Auto Ltd.,,,Derivatives-Futures,,,,0.28,,
Siemens Ltd.,,,Derivatives-Futures,,,,0.25,,
Jindal Steel Ltd.,,,Derivatives-Futures,,,,0.20,,
Eicher Motors Ltd.,,,Derivatives-Futures,,,,0.14,,
Hindalco Industries Ltd.,,,Derivatives-Futures,,,,0.13,,
Adani Ports and Special Economic Zone Ltd.,,,Derivatives-Futures,,,,0.08,,
TVS Motors Ltd. - (Prefernece Shares),,,Preference Shares,,,,0.07,,
Total,,,,,,,23.44,,
Instrument,,,Assets&nbsp;%,,
Clearing Corporation Of India Ltd.,,,15.39,,
Net Current Asset,,,-14.66,,
Total,,,0.73,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
